date,adm_level,adm_id,state,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
11/11/2023,1,1891,Johor,622,94.87942,90.405304,243.88907,269.00305,538.3794,627.8563,104.68958,90.83441,85.86141,final
21/11/2023,1,1891,Johor,622,166.19775,88.1082,325.8939,269.27582,639.91797,647.0724,183.86969,120.642746,98.90282,final
01/12/2023,1,1891,Johor,622,93.57556,121.56238,354.65274,300.0759,668.7958,711.92377,77.88694,117.889595,93.9843,final
11/12/2023,1,1891,Johor,622,102.268486,110.76683,362.0418,320.4374,727.1945,770.5021,92.65909,112.78415,94.41554,final
21/12/2023,1,1891,Johor,622,282.02252,131.52899,477.86658,363.8582,938.0868,848.5807,210.22826,130.90846,110.48596,final
01/01/2024,1,1891,Johor,622,276.04984,100.24657,660.3408,337.89624,1196.2058,888.2762,267.03943,194.03561,134.47194,final
11/01/2024,1,1891,Johor,622,149.90031,82.84357,707.9727,312.61478,1313.9034,905.41187,176.33655,224.4772,144.86888,final
21/01/2024,1,1891,Johor,622,85.655945,93.333336,511.60608,276.42346,1315.3665,910.567,92.19248,183.56894,144.21297,final
01/02/2024,1,1891,Johor,622,24.281351,47.915485,259.83762,224.09239,1274.8312,867.04315,55.33607,115.60297,146.76237,final
11/02/2024,1,1891,Johor,622,15.8745985,37.718487,125.81189,178.96732,1195.8264,810.7472,48.865494,71.10605,147.2057,final
21/02/2024,1,1891,Johor,622,7.4019294,31.283012,47.557877,116.916985,1037.0306,752.45807,34.18109,43.10956,137.56941,final
01/03/2024,1,1891,Johor,622,93.54501,53.97701,116.82154,122.97851,1037,684.9671,167.09056,95.18906,151.0217,final
11/03/2024,1,1891,Johor,622,6.821543,54.053535,107.768486,139.31355,941.5531,630.8956,20.018349,78.141304,148.85353,final
21/03/2024,1,1891,Johor,622,27.942122,71.5336,128.30867,179.56415,687.47266,572.9046,43.042694,72.22891,119.82473,final
